iter	Passed	Remaining
0	154	30696
1	161	15992
2	168	11094
3	176	8668
4	183	7159
5	190	6159
6	198	5465
7	205	4940
8	212	4519
9	220	4181
10	227	3915
11	235	3682
12	242	3482
13	248	3302
14	255	3156
15	262	3022
16	269	2906
17	276	2795
18	282	2695
19	289	2605
20	296	2527
21	303	2458
22	310	2391
23	318	2336
24	325	2281
25	332	2227
26	339	2175
27	345	2124
28	352	2076
29	358	2032
30	365	1994
31	372	1956
32	379	1921
33	386	1884
34	392	1851
35	400	1825
36	409	1802
37	417	1778
38	424	1753
39	431	1727
40	439	1706
41	448	1686
42	455	1663
43	462	1640
44	470	1621
45	476	1596
46	483	1574
47	490	1551
48	496	1530
49	503	1509
50	510	1491
51	517	1473
52	524	1454
53	531	1435
54	538	1418
55	544	1399
56	552	1384
57	559	1369
58	566	1353
59	572	1336
60	579	1320
61	586	1305
62	592	1288
63	598	1272
64	605	1257
65	612	1243
66	619	1228
67	626	1216
68	633	1202
69	640	1189
70	647	1175
71	653	1162
72	662	1152
73	669	1139
74	677	1129
75	684	1117
76	692	1105
77	700	1095
78	708	1085
79	715	1073
80	722	1061
81	729	1049
82	736	1038
83	743	1026
84	749	1014
85	756	1002
86	763	991
87	770	980
88	784	978
89	791	967
90	799	957
91	805	945
92	811	933
93	818	922
94	825	912
95	831	901
96	838	890
97	846	880
98	853	870
99	859	859
100	866	849
101	873	838
102	879	828
103	886	818
104	893	808
105	899	797
106	906	787
107	913	778
108	920	768
109	927	758
110	934	749
111	940	739
112	946	728
113	953	719
114	960	710
115	967	700
116	973	690
117	980	681
118	986	671
119	993	662
120	999	652
121	1005	643
122	1012	633
123	1018	624
124	1024	614
125	1030	605
126	1036	595
127	1042	586
128	1049	577
129	1056	569
130	1063	560
131	1071	551
132	1077	542
133	1084	533
134	1091	525
135	1097	516
136	1103	507
137	1110	498
138	1116	490
139	1122	481
140	1129	472
141	1136	464
142	1143	455
143	1149	447
144	1157	438
145	1164	430
146	1172	422
147	1180	414
148	1187	406
149	1194	398
150	1202	390
151	1210	382
152	1218	374
153	1225	365
154	1232	357
155	1238	349
156	1245	341
157	1253	333
158	1259	324
159	1266	316
160	1273	308
161	1279	300
162	1286	291
163	1292	283
164	1300	275
165	1307	267
166	1313	259
167	1320	251
168	1327	243
169	1333	235
170	1339	227
171	1346	219
172	1353	211
173	1361	203
174	1367	195
175	1373	187
176	1380	179
177	1386	171
178	1393	163
179	1400	155
180	1406	147
181	1413	139
182	1420	131
183	1426	124
184	1433	116
185	1440	108
186	1447	100
187	1453	92
188	1459	84
189	1466	77
190	1473	69
191	1480	61
192	1486	53
193	1493	46
194	1500	38
195	1506	30
196	1513	23
197	1519	15
198	1526	7
199	1533	0
